id_client,last_purchase_date,days_since_last,reactivation_score,reactivation_probability,frequency,total_spend,avg_spend,tenure_days,product_diversity,renewal_rate,prior_reactivations,segment_Calls - Infrequent Casual Users,segment_Calls - Regular Calling Offer Users,segment_eSIM - Dormant Local Data Users,segment_eSIM - High-Value Bundle Subscribers,segment_eSIM - High-Velocity Light Spenders,segment_Virtual - High-Spend Power Users,segment_Virtual - Light Occasional Users,segment_Virtual - Mid-Tier Phone Plan Holders
16296569,2025-03-30,276,72.98,0.7297817633932796,10,72.07,7.206999999999999,203,6,0.0,0,1,0,0,1,0,1,0,0
17665044,2025-04-25,250,72.95,0.7294792214738618,6,39.9552937926454,6.659215632107567,210,3,0.0,1,1,0,0,1,0,1,0,0
17694430,2025-07-12,172,72.92,0.7291783592078999,11,96.94,8.812727272727273,385,5,0.0,2,1,0,0,1,0,1,0,0
16662583,2025-09-05,117,72.92,0.7292461743166782,63,470.4,7.466666666666666,551,8,0.0,0,1,0,0,1,0,1,0,0
19908860,2025-04-20,255,72.91,0.7291396170247886,7,47.0,6.714285714285714,151,3,0.0,0,0,0,0,1,0,1,0,0
18649080,2025-05-02,243,72.83,0.7283094093289383,16,86.48,5.405,292,3,0.0,0,0,0,0,1,0,1,0,0
19365853,2025-07-05,179,72.78,0.7277686794958089,10,73.4601958617636,7.346019586176359,191,6,0.0,0,1,0,0,1,0,1,0,0
15959901,2025-07-17,167,72.77,0.7277005075754872,7,58.980000000000004,8.425714285714287,398,6,0.0,2,1,0,0,1,0,1,0,0
17639184,2025-03-19,287,72.76,0.7275883603576757,17,129.45,7.614705882352941,309,5,0.0,1,0,0,0,1,0,1,0,0
19733241,2025-03-17,289,72.76,0.7276131901894238,7,43.46,6.208571428571429,159,3,0.0,1,0,0,0,1,0,1,0,0
18302118,2025-06-26,188,72.76,0.7276487878251704,7,127.99,18.284285714285712,348,6,0.0,1,0,1,0,1,0,1,0,0
16729586,2025-09-08,114,72.72,0.7271708078015147,3,35.98,11.993333333333332,307,2,0.0,2,0,0,0,1,0,1,0,0
18291324,2025-06-29,185,72.67,0.7267224412147373,11,54.5,4.954545454545454,363,2,0.0,1,0,0,0,1,0,1,0,0
15862877,2025-06-06,208,72.66,0.7265782327633061,7,95.97999999999999,13.71142857142857,366,4,0.0,2,1,0,0,1,0,1,0,0
16001921,2025-07-03,181,72.63,0.7263094737461249,18,76.38,4.243333333333333,414,7,0.0,1,1,0,0,1,0,1,0,0
20166658,2025-05-26,219,72.6,0.7259893404028865,30,181.88,6.062666666666667,181,10,0.0,0,0,1,0,1,0,1,0,0
17486915,2025-03-20,286,72.59,0.7259297863280537,63,373.41,5.927142857142858,322,4,0.0,0,1,0,0,1,0,1,0,0
16265604,2025-05-27,218,72.59,0.7259098784375493,3,47.98,15.993333333333332,365,2,0.0,2,0,0,0,1,0,1,0,0
20328678,2025-06-10,204,72.51,0.725081822837392,6,55.99,9.331666666666667,101,5,0.0,0,1,0,0,1,0,1,0,0
17295349,2025-08-13,140,72.5,0.7249644498699791,18,122.47,6.803888888888888,409,6,0.0,0,1,0,0,1,0,1,0,0
18005576,2025-06-11,203,72.5,0.7249857488293973,6,28.490000000000002,4.748333333333334,123,5,0.0,0,1,0,0,1,0,1,0,0
17192628,2025-06-01,213,72.47,0.7247185720593778,13,209.97,16.15153846153846,285,10,0.0,1,0,0,0,1,0,1,0,0
19619945,2024-12-26,370,72.47,0.7246962059463999,6,69.0,11.5,61,2,0.0,0,0,0,0,1,0,1,0,0
15768538,2025-01-07,358,72.44,0.7244013967795699,5,69.49,13.898,334,5,0.0,2,0,0,0,1,0,1,0,0
16680364,2025-09-30,92,72.38,0.7237952816208694,9,80.47,8.94111111111111,365,7,0.0,2,0,1,0,1,0,1,0,0
16210012,2025-07-28,156,72.36,0.7235550498985904,10,82.99,8.299,538,5,0.0,2,1,0,0,1,0,1,0,0
18168667,2024-11-22,404,72.35,0.7234800529481946,12,102.99,8.5825,147,9,0.0,0,0,1,0,1,0,1,0,0
17001209,2025-08-29,124,72.31,0.7231212011786237,14,90.02,6.43,506,6,0.0,2,1,0,0,1,0,1,0,0
18125607,2025-06-14,200,72.31,0.723086217507868,44,279.93,6.362045454545455,363,6,0.0,0,1,0,0,1,0,1,0,0
18378768,2025-08-03,150,72.29,0.7228625597762095,12,67.98,5.665,324,4,0.0,0,0,0,0,1,0,1,0,0
20094932,2025-05-20,225,72.29,0.7228617787794033,10,65.49,6.5489999999999995,125,6,0.0,0,0,0,0,1,0,1,0,0
18653303,2025-02-11,323,72.28,0.7228322294835745,17,102.96000000000001,6.056470588235294,199,4,0.0,0,1,0,0,1,0,1,0,0
16207384,2025-09-26,96,72.26,0.7225676719546099,9,86.97999999999999,9.664444444444444,480,6,0.0,2,0,0,0,1,0,1,0,0
19239765,2025-06-08,206,72.23,0.7223160910807885,5,50.98,10.196,217,4,0.0,1,0,0,0,1,0,1,0,0
16764041,2025-05-31,214,72.21,0.72205525044183,9,59.5,6.611111111111111,446,3,0.0,1,1,0,0,1,0,1,0,0
17705533,2024-12-03,393,72.2,0.721965380790141,11,298.48,27.134545454545457,187,3,0.0,0,0,0,0,1,0,1,0,0
17762755,2025-01-05,360,72.2,0.7219955179724906,5,54.9750979308818,10.99501958617636,34,5,0.0,0,1,0,0,1,0,1,0,0
20251406,2025-05-28,217,72.19,0.7218505372645936,5,66.99,13.398,150,3,0.0,0,0,0,0,1,0,1,0,0
17938170,2025-03-29,277,72.18,0.721836598903223,15,64.9,4.326666666666667,276,4,0.0,0,0,0,0,1,0,1,0,0
19251469,2025-07-25,159,72.17,0.7216798747016583,21,187.9950979308818,8.952147520518182,324,9,0.0,1,1,0,0,1,0,1,0,0
19426746,2025-01-10,355,72.11,0.7210614238998833,8,91.47,11.43375,118,4,0.0,0,0,0,0,1,0,1,0,0
17754138,2025-07-29,155,72.07,0.7207420068716937,12,84.3750979308818,7.031258160906816,339,4,0.0,1,0,0,0,1,0,1,0,0
16115803,2025-08-16,137,72.03,0.7203187328744274,4,41.989999999999995,10.497499999999999,507,3,0.0,2,0,0,0,1,0,1,0,0
16196163,2025-09-29,93,72.02,0.7202457581263088,41,241.3001958617636,5.885370630774722,584,11,0.0,1,1,0,0,1,0,1,0,0
18064208,2025-03-04,302,72.01,0.7200537573679066,7,33.49,4.784285714285715,153,4,0.0,1,0,0,0,1,0,1,0,0
18216848,2024-10-03,454,72.01,0.7201233935488,5,36.989999999999995,7.397999999999999,75,4,0.0,0,0,0,0,1,0,1,0,0
19807002,2025-03-27,279,71.96,0.7195602608899583,6,39.5,6.583333333333333,46,2,0.0,0,0,0,0,1,0,1,0,0
18779740,2025-03-23,283,71.95,0.7194989475885057,11,56.5,5.136363636363637,215,2,0.0,0,0,0,0,1,0,1,0,0
17099937,2025-09-16,106,71.93,0.7193227389649742,9,78.96,8.773333333333333,379,5,0.0,1,1,0,0,1,0,1,0,0
17259836,2025-07-27,157,71.93,0.7192636120603408,8,58.0,7.25,467,4,0.0,3,0,0,0,1,0,0,0,0
18277982,2025-04-25,250,71.92,0.7191929661033083,11,41.93,3.811818181818182,273,4,0.0,1,1,0,0,1,0,1,0,0
17252590,2025-05-30,215,71.86,0.7185784472694674,30,303.3601958617636,10.112006528725454,370,6,0.0,1,1,0,0,1,0,1,0,0
18064169,2025-06-09,205,71.81,0.7180944608829775,15,97.48,6.498666666666667,335,6,0.0,1,0,1,0,1,0,1,0,0
20180266,2025-06-12,202,71.78,0.7177726128946036,3,32.49,10.83,115,2,0.0,1,0,0,0,1,0,1,0,0
16489608,2025-01-27,338,71.78,0.7177735794579985,8,37.97,4.74625,113,5,0.0,1,1,0,0,1,0,1,0,0
17163942,2025-04-24,251,71.77,0.7176909103444222,34,157.39000000000001,4.629117647058824,379,9,0.0,0,1,0,0,1,0,1,0,0
18555541,2025-05-25,220,71.77,0.7176888966176382,3,29.99,9.996666666666666,95,2,0.0,1,0,0,0,1,0,1,0,0
19160802,2025-05-13,232,71.77,0.7177283421743816,32,162.3850979308818,5.074534310340057,216,6,0.0,0,1,0,0,1,0,1,0,0
16158501,2024-08-02,516,71.74,0.717414917275799,7,38.5,5.5,188,5,0.0,1,0,0,0,1,0,0,0,0
17510013,2025-03-17,289,71.74,0.7174424710711252,15,208.48,13.898666666666665,222,5,0.0,1,1,0,0,1,0,1,0,0
19367263,2025-07-13,171,71.73,0.7173248967101442,23,114.94,4.997391304347826,290,10,0.0,0,0,1,0,1,0,1,0,0
18277679,2025-09-09,113,71.73,0.7173254041720142,4,36.5,9.125,440,4,0.0,2,0,0,0,1,0,0,0,0
16578484,2025-03-31,275,71.7,0.7169945477963872,5,27.5,5.5,402,4,0.0,1,0,1,0,1,0,1,0,0
17706705,2024-10-04,453,71.69,0.7168521100186542,9,162.98,18.108888888888888,121,5,0.0,0,0,0,0,1,0,1,0,0
17234229,2025-07-20,164,71.67,0.7166603429807159,10,91.19,9.119,109,7,0.0,0,0,1,0,1,0,1,0,0
18085863,2025-01-12,353,71.66,0.7166095998114175,10,58.989999999999995,5.898999999999999,180,4,0.0,0,0,0,0,1,0,1,0,0
16587551,2024-12-19,377,71.65,0.7164618881570536,31,219.8,7.090322580645162,292,8,0.0,0,1,0,0,1,0,1,0,0
19155944,2024-11-29,397,71.64,0.7163839353407347,9,80.93039172352721,8.992265747058578,41,4,0.0,0,1,0,0,1,0,1,0,0
18265114,2024-10-18,439,71.63,0.7163272745096435,4,29.0,7.25,119,4,0.0,0,0,0,0,1,0,0,0,0
20531673,2025-06-16,198,71.62,0.7161881631370374,11,59.57,5.415454545454545,100,6,0.0,0,1,0,0,1,0,1,0,0
16162506,2025-06-04,210,71.61,0.7160846868706855,16,119.54509793088181,7.471568620680113,206,7,0.0,0,1,0,0,1,0,1,0,0
17832714,2025-05-05,240,71.56,0.7156014870545897,4,50.480000000000004,12.620000000000001,7,3,0.0,0,0,0,0,1,0,1,0,0
16688859,2025-02-18,316,71.55,0.7154715616118379,3,21.0,7.0,33,3,0.0,0,1,0,0,1,0,1,0,0
17612043,2025-08-22,131,71.53,0.7153285901585801,13,73.99,5.691538461538461,298,4,0.0,0,0,0,0,1,0,1,0,0
17809961,2024-12-16,380,71.52,0.7151647856773851,4,32.48,8.12,68,2,0.0,0,0,0,0,1,0,1,0,0
16226173,2025-04-22,253,71.51,0.7151058080363353,11,79.48,7.225454545454546,391,5,0.0,2,0,0,0,1,0,1,0,0
15811081,2025-08-03,150,71.48,0.714803749582647,7,123.47999999999999,17.639999999999997,455,5,0.0,2,0,0,0,1,0,1,0,0
19077194,2024-09-22,465,71.47,0.714683552476849,3,28.490000000000002,9.496666666666668,3,3,0.0,0,0,0,0,1,0,1,0,0
20401995,2025-09-02,120,71.47,0.714743408004702,3,25.0,8.333333333333334,257,3,0.0,1,0,0,0,1,0,0,0,0
20153592,2025-04-21,254,71.41,0.7141402390685739,5,49.5,9.9,150,4,0.0,1,0,0,0,1,0,0,0,0
18491989,2025-07-15,169,71.4,0.7139806309091894,4,39.0,9.75,365,3,0.0,1,0,0,0,1,0,0,0,0
19098648,2025-06-09,205,71.4,0.7139970439619412,22,92.13,4.1877272727272725,296,8,0.0,0,0,1,0,1,0,1,0,0
17842291,2025-07-30,154,71.4,0.7140038353965902,27,488.83,18.104814814814816,409,3,0.0,0,0,0,0,1,0,1,0,0
17436628,2025-09-04,118,71.4,0.7140030019768894,84,296.5035753205816,3.529804468102162,480,31,0.0,0,0,1,0,1,0,1,0,0
17559265,2025-01-01,364,71.4,0.7139942440148339,7,43.989999999999995,6.284285714285714,190,3,0.0,0,0,0,0,1,0,1,0,0
15916395,2025-04-25,250,71.39,0.7139209977575305,9,85.47,9.496666666666666,307,4,0.0,1,0,0,0,1,0,0,0,0
17597487,2025-03-25,281,71.38,0.7137659715755231,7,37.0,5.285714285714286,147,4,0.0,0,0,0,0,1,0,1,0,0
19108931,2025-07-05,179,71.38,0.7137778214578471,9,88.98,9.886666666666667,274,7,0.0,2,0,1,0,1,0,1,0,0
18549583,2025-07-27,157,71.38,0.7138201554831816,4,31.5,7.875,218,3,0.0,1,0,0,0,1,0,0,0,0
19913723,2025-05-09,236,71.3,0.713045900436102,11,56.4850979308818,5.135008902807436,93,5,0.0,0,1,0,0,1,0,1,0,0
18315433,2025-08-12,141,71.26,0.712615612385093,22,144.97,6.589545454545455,269,6,0.0,0,1,0,0,1,0,1,0,0
18492026,2025-07-09,175,71.26,0.7126053727540662,5,45.5,9.1,365,3,0.0,2,0,0,0,1,0,0,0,0
17624190,2025-05-14,231,71.25,0.7125083792919429,2,18.0,9.0,366,2,0.0,1,0,0,0,1,0,0,0,0
16642187,2025-02-27,307,71.19,0.7118630597317808,29,508.75,17.54310344827586,318,5,0.0,0,0,0,0,1,0,1,0,0
19678504,2025-10-02,90,71.18,0.7118013446254651,12,105.09,8.7575,264,7,0.0,2,0,1,0,1,0,1,0,0
17496815,2025-07-14,170,71.16,0.7116055762565989,17,103.5,6.088235294117647,439,7,0.0,2,0,0,0,1,0,0,0,0
18244702,2025-06-23,191,71.16,0.7115898184294771,24,255.8350979308818,10.659795747120075,219,8,0.0,1,1,0,0,1,0,1,0,0
18807747,2025-09-06,116,71.13,0.7112710854401502,5,55.0,11.0,403,4,0.0,2,0,0,0,1,0,0,0,0
19606558,2025-04-22,253,71.11,0.7110922492626892,2,20.0,10.0,144,2,0.0,1,0,0,0,1,0,0,0,0
19155522,2025-01-06,359,71.11,0.7110845265451009,12,210.49,17.540833333333335,118,5,0.0,0,1,0,0,1,0,1,0,0
17252258,2025-02-20,314,71.08,0.7108412081610116,5,33.0,6.6,271,3,0.0,1,0,0,0,1,0,1,0,0
15830051,2025-08-21,132,71.05,0.7104755425913238,18,163.98,9.11,510,8,0.0,2,0,0,0,1,0,1,0,0
17053009,2025-01-27,338,71.04,0.7104042451075665,13,85.5,6.576923076923077,275,4,0.0,0,0,0,0,1,0,1,0,0
18501680,2025-08-15,138,71.01,0.7100898055746216,4,61.5,15.375,395,3,0.0,1,0,0,0,1,0,0,0,0
18776466,2025-09-19,103,71.0,0.7099739744689768,36,363.48,10.096666666666668,421,10,0.0,0,0,0,0,1,0,0,0,0
16453895,2025-02-28,306,71.0,0.7099543876336815,8,27.46,3.4325,127,5,0.0,0,1,0,0,1,0,1,0,0
16443597,2025-04-20,255,71.0,0.7099513609660435,6,62.55,10.424999999999999,321,6,0.0,1,0,0,0,1,0,0,0,0
19746644,2025-02-26,308,71.0,0.7099512841862685,17,80.59,4.740588235294118,140,5,0.0,0,0,1,0,1,0,1,0,0
16389258,2025-05-13,232,70.98,0.7097897630784363,8,51.97,6.49625,452,5,0.0,1,0,1,0,0,0,1,0,0
19770723,2025-09-06,116,70.98,0.7098459669749673,25,173.93529379264538,6.957411751705815,301,7,0.0,0,1,0,0,1,0,1,0,0
18838945,2024-09-26,461,70.98,0.7097704990677863,5,43.0,8.6,56,4,0.0,0,0,0,0,1,0,0,0,0
16152039,2025-03-25,281,70.98,0.70980088749442,5,39.5,7.9,415,3,0.0,2,0,0,0,1,0,0,0,0
15792925,2025-03-18,288,70.97,0.7096970464404818,8,65.56,8.195,411,4,0.0,1,1,0,0,0,0,1,0,0
16001569,2025-07-27,157,70.96,0.7096011693271429,16,110.0,6.875,553,4,0.0,1,0,0,0,1,0,0,0,0
18622277,2025-09-08,114,70.96,0.7096448031724634,4,39.0,9.75,418,4,0.0,1,0,0,0,1,0,0,0,0
17138636,2025-08-21,132,70.95,0.7094814485917519,21,400.93,19.09190476190476,486,9,0.0,1,0,1,0,1,0,1,0,0
18153112,2025-07-13,171,70.92,0.7092228100439457,9,77.0,8.555555555555555,393,6,0.0,2,0,0,0,1,0,0,0,0
16711641,2025-03-13,293,70.9,0.7090463997991381,11,52.04,4.7309090909090905,68,5,0.0,0,1,0,0,1,0,1,0,0
19424448,2025-04-17,258,70.89,0.7089434259056003,6,49.5,8.25,213,3,0.0,1,0,0,0,1,0,0,0,0
16009059,2025-06-18,196,70.87,0.708724652403456,10,146.98,14.697999999999999,416,6,0.0,3,1,0,0,1,0,1,0,0
16476974,2025-09-14,108,70.87,0.7087248196032823,14,62.46,4.461428571428572,459,4,0.0,0,0,0,0,1,0,1,0,0
16221556,2025-08-19,134,70.85,0.7085136617520539,4,53.5,13.375,562,4,0.0,2,0,0,0,1,0,0,0,0
19932425,2024-11-21,405,70.85,0.7084571368097669,3,23.5,7.833333333333333,25,3,0.0,0,0,0,0,1,0,0,0,0
16073431,2025-01-20,345,70.85,0.7084903982244097,2,22.99,11.495,334,2,0.0,1,1,0,0,0,0,1,0,0
16452156,2025-03-04,302,70.83,0.7082903434458355,3,40.98,13.659999999999998,373,2,0.0,1,1,0,0,0,0,1,0,0
17108585,2025-02-25,309,70.82,0.7081731738307144,17,254.44509793088181,14.967358701816577,232,11,0.0,1,0,1,0,1,0,1,0,0
20163951,2025-03-20,286,70.81,0.7081319918870177,12,45.46,3.7883333333333336,93,7,0.0,0,0,0,0,1,0,1,0,0
17021071,2025-01-27,338,70.8,0.7080199293102492,3,9.49,3.1633333333333336,212,3,0.0,1,0,0,0,1,0,1,0,0
19831958,2025-03-15,291,70.8,0.7080056548085364,10,121.0,12.1,40,6,0.0,0,0,0,0,1,0,1,0,0
15870565,2025-02-24,310,70.8,0.7080104202776076,6,77.44999999999999,12.908333333333331,368,3,0.0,1,1,0,0,0,0,1,0,0
19648955,2025-01-29,336,70.79,0.7078674754543286,20,135.97,6.7985,121,5,0.0,0,0,0,0,1,0,1,0,0
18744648,2025-09-05,117,70.78,0.7077892347346402,10,65.5,6.55,248,7,0.0,2,0,0,0,1,0,0,0,0
17239484,2024-08-04,514,70.77,0.707740984103132,5,69.0,13.8,104,3,0.0,1,1,0,0,1,0,0,0,0
19061663,2025-02-28,306,70.77,0.7077222450149221,8,33.97,4.24625,188,3,0.0,0,0,0,0,1,0,1,0,0
16497647,2025-06-06,208,70.76,0.7075885741236134,5,40.5,8.1,469,4,0.0,2,0,0,0,1,0,0,0,0
17815297,2025-09-18,104,70.75,0.7075047341680835,6,79.0,13.166666666666666,332,3,0.0,2,0,0,0,1,0,0,0,0
17946310,2024-10-20,437,70.75,0.7075202558382466,7,58.48,8.354285714285714,32,6,0.0,0,1,0,0,1,0,1,0,0
17578238,2025-08-23,130,70.73,0.7073324400931673,9,112.0,12.444444444444445,474,5,0.0,2,0,0,0,1,0,0,0,0
17028265,2025-06-29,185,70.7,0.7069647963405826,14,110.3,7.878571428571428,428,11,0.0,1,0,0,0,1,0,0,0,0
15965429,2024-12-23,373,70.69,0.7069397798731523,4,22.0,5.5,64,4,0.0,0,0,0,0,1,0,0,0,0
19683813,2025-07-15,169,70.68,0.7067617104555499,2,17.5,8.75,278,2,0.0,1,0,0,0,1,0,0,0,0
20252126,2025-05-12,233,70.68,0.7067955039532855,3,34.980000000000004,11.660000000000002,162,3,0.0,1,0,0,0,1,0,0,0,0
17421372,2025-01-12,353,70.67,0.7067068397319487,6,35.48,5.913333333333333,241,5,0.0,1,1,0,0,0,0,1,0,0
19158065,2025-07-07,177,70.67,0.7066642810993922,30,378.5250979308818,12.617503264362728,290,18,0.0,1,0,1,0,1,0,1,0,0
15924497,2025-01-11,354,70.66,0.7066463039826532,2,22.99,11.495,208,2,0.0,1,1,0,0,0,0,1,0,0
16568240,2025-06-29,185,70.66,0.7065531980533337,10,51.379999999999995,5.138,471,4,0.0,2,0,0,0,1,0,0,0,0
16680086,2025-04-09,266,70.66,0.7065964413444286,8,56.46,7.0575,375,4,0.0,1,1,0,0,0,0,1,0,0
18525864,2025-07-13,171,70.65,0.7065101378533504,5,66.0,13.2,335,3,0.0,2,0,0,0,1,0,0,0,0
19373615,2025-03-30,276,70.65,0.7065295295890559,20,101.48,5.074,87,7,0.0,0,1,0,0,1,0,1,0,0
18558732,2025-07-09,175,70.64,0.7064010435469303,5,61.5,12.3,362,4,0.0,2,0,0,0,1,0,0,0,0
18070359,2025-01-04,361,70.63,0.70628090999293,4,43.980000000000004,10.995000000000001,92,4,0.0,0,0,0,0,1,0,0,0,0
17760251,2025-09-28,94,70.62,0.7061710358896448,7,44.5,6.357142857142857,489,3,0.0,2,0,0,0,1,0,0,0,0
19405778,2025-01-17,348,70.61,0.7060531455020701,4,20.5,5.125,95,4,0.0,1,0,0,0,1,0,0,0,0
16259866,2025-02-02,332,70.61,0.7060614227223173,2,19.99,9.995,360,2,0.0,1,1,0,0,0,0,1,0,0
19575854,2025-05-28,217,70.61,0.7061133851074558,7,88.5,12.642857142857142,228,4,0.0,1,0,0,0,1,0,0,0,0
16693235,2025-04-29,246,70.61,0.7060833061090008,13,167.48000000000002,12.883076923076924,91,5,0.0,0,1,0,0,1,0,1,0,0
18954846,2025-02-27,307,70.6,0.7059523716522409,5,46.0,9.2,196,2,0.0,1,0,0,0,1,0,0,0,0
19939562,2025-08-08,145,70.6,0.7059693042907614,11,101.97999999999999,9.27090909090909,241,7,0.0,1,1,0,0,1,0,1,0,0
18342996,2025-04-12,263,70.6,0.7059749920859865,4,29.5,7.375,5,3,0.0,0,0,0,0,1,0,0,0,0
19548252,2025-09-25,97,70.59,0.7059003086534745,4,45.49,11.3725,365,4,0.0,1,0,0,0,1,0,0,0,0
16478074,2025-07-12,172,70.59,0.7058922307814649,4,23.97,5.9925,391,2,0.0,1,1,0,0,0,0,1,0,0
20411427,2025-06-24,190,70.59,0.7059086680187779,5,63.0,12.6,110,4,0.0,0,0,0,0,1,0,0,0,0
17195291,2024-08-26,492,70.58,0.7058178322154071,3,26.5,8.833333333333334,79,2,0.0,0,0,0,0,1,0,0,0,0
15872396,2025-03-15,291,70.58,0.7058495300363361,10,60.92,6.0920000000000005,423,3,0.0,2,1,0,0,0,0,1,0,0
17354803,2025-03-05,301,70.58,0.7058012330625122,6,32.0,5.333333333333333,297,4,0.0,1,0,0,0,1,0,0,0,0
17877515,2025-03-12,294,70.57,0.705739868287798,7,51.5,7.357142857142857,284,7,0.0,1,0,1,0,1,0,0,0,0
17590951,2025-09-15,107,70.57,0.7057050104698114,12,117.0,9.75,490,6,0.0,1,0,0,0,1,0,0,0,0
16454784,2024-08-27,491,70.56,0.7056393345966113,12,104.49,8.7075,194,7,0.0,0,0,0,0,1,0,0,0,0
16518284,2025-09-25,97,70.56,0.7056352076594814,8,75.0,9.375,579,4,0.0,3,0,0,0,1,0,0,0,0
17652289,2025-08-08,145,70.54,0.7053869758823623,6,41.5,6.916666666666667,433,4,0.0,1,0,0,0,1,0,0,0,0
18836996,2025-08-19,134,70.54,0.7053644649131621,2,19.0,9.5,379,2,0.0,1,0,0,0,1,0,0,0,0
15857182,2025-05-11,234,70.53,0.7052944253464998,3,30.5,10.166666666666666,477,2,0.0,1,0,0,0,1,0,0,0,0
15976833,2025-03-03,303,70.53,0.705287799053748,13,51.410000000000004,3.954615384615385,378,3,0.0,0,1,0,0,0,0,1,0,0
19448522,2025-01-06,359,70.5,0.7050192366487765,4,29.4850979308818,7.37127448272045,104,2,0.0,0,0,0,0,1,0,0,0,0
17572770,2025-09-26,96,70.5,0.705016990935087,9,100.25,11.13888888888889,499,5,0.0,1,0,0,0,1,0,0,0,0
18416803,2025-03-23,283,70.48,0.7048033858596644,18,81.38,4.521111111111111,249,3,0.0,1,0,1,0,0,0,1,0,0
16145955,2025-01-30,335,70.48,0.7048070872403333,8,86.5,10.8125,368,4,0.0,2,0,0,0,1,0,0,0,0
